task,metric,model,model_label,spatial_score,random_score,score_delta_random_minus_spatial
pm25,R2,cityfm,CityFM,0.5904279504432786,0.8381395682505358,0.24771161780725726
pm25,R2,calliper,CaLLiPer,0.5529860666932163,0.8704511840299495,0.3174651173367332
pm25,R2,space2vec,Space2Vec,0.3811504049281107,0.7738167318154974,0.3926663268873867
pm25,R2,place2vec,Place2Vec,0.05851647432713134,0.10782806386755792,0.049311589540426574
pm25,R2,sphere2vec_fixed,PE,0.8590176390122634,0.9106314861861183,0.051613847173854976
lst_day_mean,R2,aether,AETHER,0.9755073086442422,0.6470576916601896,-0.3284496169840526
lst_day_mean,R2,alphaearth,AlphaEarth,1.0,0.638130945318305,-0.36186905468169495
lst_day_mean,R2,tessera,TESSERA,0.8818739364597866,0.6288300331784564,-0.2530439032813302
lst_day_mean,R2,satclip,SatCLIP,0.12488485352571693,0.16371224278192417,0.03882738925620724
lst_day_mean,R2,muse,MuseCL,0.05780229787047805,0.0,-0.05780229787047805
lst_day_mean,R2,urban2vec,Urban2Vec,0.0,0.709702397933041,0.709702397933041
lst_day_mean,R2,cityfm,CityFM,0.9641148121233356,0.6335070298862824,-0.3306077822370532
lst_day_mean,R2,calliper,CaLLiPer,0.813322298677677,1.0,0.18667770132232298
lst_day_mean,R2,space2vec,Space2Vec,0.4914166059849359,0.9826405360723351,0.49122393008739923
lst_day_mean,R2,place2vec,Place2Vec,0.0022534625222737515,0.4281016154547191,0.4258481529324453
lst_day_mean,R2,sphere2vec_fixed,PE,0.646100807501281,0.8010730980837742,0.1549722905824933
