task,metric,higher_is_better,model,model_label,spatial_mean,spatial_rank,random_mean,random_rank,task_title,raw_delta_random_minus_spatial
gdp,R2,True,space2vec,Space2Vec,0.2045048519968986,8.0,0.4470198005437851,7.0,GDP,0.2425149485468865
gdp,R2,True,place2vec,Place2Vec,0.1910352498292922,7.875,0.3426461994647979,9.125,GDP,0.1516109496355057
gdp,R2,True,sphere2vec_fixed,PE,0.13184405118227,8.375,0.3409980967640876,8.375,GDP,0.2091540455818176
nightlight,R2,True,aether,AETHER,0.5371981993317604,3.125,0.6702268406748771,6.125,NTL,0.13302864134311676
nightlight,R2,True,alphaearth,AlphaEarth,0.6500194624066353,1.125,0.7754106998443604,2.375,NTL,0.12539123743772507
nightlight,R2,True,tessera,TESSERA,0.5954798251390456,2.25,0.7394780784845352,4.0,NTL,0.14399825334548955
nightlight,R2,True,satclip,SatCLIP,0.0764049634337425,10.75,0.3144144535064697,11.0,NTL,0.23800949007272718
nightlight,R2,True,muse,MuseCL,0.3360360771417617,6.75,0.603099437057972,8.0,NTL,0.2670633599162103
nightlight,R2,True,urban2vec,Urban2Vec,0.3190841391682624,7.125,0.720310027897358,4.875,NTL,0.4012258887290956
nightlight,R2,True,cityfm,CityFM,0.3686998203396797,5.875,0.7315030515193939,4.375,NTL,0.3628032311797142
nightlight,R2,True,calliper,CaLLiPer,0.364196103811264,5.5,0.8163363218307496,1.125,NTL,0.45214021801948556
nightlight,R2,True,space2vec,Space2Vec,0.3050093010067939,7.625,0.701307238638401,5.625,NTL,0.39629793763160714
nightlight,R2,True,place2vec,Place2Vec,0.3032502815127372,7.625,0.5270133450627327,9.5,NTL,0.22376306354999548
nightlight,R2,True,sphere2vec_fixed,PE,0.2368081256747245,8.25,0.5634299218654633,9.0,NTL,0.3266217961907387
pm25,R2,True,aether,AETHER,0.5676466852426529,1.75,0.7638573661446572,1.75,PM25,0.19621068090200422
pm25,R2,True,alphaearth,AlphaEarth,0.3899493172764778,4.375,0.6059870511293411,5.75,PM25,0.21603773385286335
pm25,R2,True,tessera,TESSERA,0.3960609316825866,3.625,0.650281311571598,4.875,PM25,0.25422037988901136
pm25,R2,True,satclip,SatCLIP,0.0317718520760536,9.625,0.3309231594204902,8.375,PM25,0.2991513073444366
pm25,R2,True,muse,MuseCL,0.0386777073144912,9.25,0.1420015767216682,10.75,PM25,0.10332386940717699
pm25,R2,True,urban2vec,Urban2Vec,0.0681954190135001,8.875,0.2135631456971168,9.25,PM25,0.1453677266836167
pm25,R2,True,cityfm,CityFM,0.3481673315167427,5.125,0.6632035195827484,3.75,PM25,0.3150361880660057
pm25,R2,True,calliper,CaLLiPer,0.3281031683087348,5.125,0.6832966849207879,3.75,PM25,0.35519351661205306
pm25,R2,True,space2vec,Space2Vec,0.2360207617282867,7.0,0.6232039913535117,5.25,PM25,0.387183229625225
pm25,R2,True,place2vec,Place2Vec,0.0631293579936027,8.25,0.2090550824999809,9.25,PM25,0.1459257245063782
pm25,R2,True,sphere2vec_fixed,PE,0.4920977860689163,3.0,0.7082830384373665,3.25,PM25,0.2161852523684502
lst_day_mean,R2,True,aether,AETHER,0.5001292869448661,2.875,0.7990024045109749,5.875,LST,0.2988731175661088
lst_day_mean,R2,True,alphaearth,AlphaEarth,0.5092444941401482,2.625,0.7945255294442177,6.125,LST,0.28528103530406956
lst_day_mean,R2,True,tessera,TESSERA,0.4652826637029648,4.0,0.7898610055446624,6.625,LST,0.32457834184169765
lst_day_mean,R2,True,satclip,SatCLIP,0.1835613846778869,8.75,0.5565986096858979,9.875,LST,0.373037225008011
lst_day_mean,R2,True,muse,MuseCL,0.1585959210991858,9.25,0.4744948700070381,10.625,LST,0.3158989489078523
lst_day_mean,R2,True,urban2vec,Urban2Vec,0.137084200978279,9.5,0.830419509112835,4.875,LST,0.693335308134556
lst_day_mean,R2,True,cityfm,CityFM,0.4958894520998,3.5,0.7922065779566765,6.0,LST,0.2963171258568765
lst_day_mean,R2,True,calliper,CaLLiPer,0.4397704660892486,4.0,0.976007391512394,1.0,LST,0.5362369254231454
lst_day_mean,R2,True,space2vec,Space2Vec,0.3199699491262435,6.875,0.9673014029860496,2.0,LST,0.6473314538598061
lst_day_mean,R2,True,place2vec,Place2Vec,0.1379228502511977,9.375,0.6891931906342506,8.875,LST,0.5512703403830529
lst_day_mean,R2,True,sphere2vec_fixed,PE,0.3775372669100761,5.25,0.8762430593371391,4.125,LST,0.498705792427063
